Hand,2,3,4,5,6,7,8,9,10,A
H17,S,S,S,S,S,S,S,S,S,S
H16,S,S,S,S,S,H,H,H,H,H
H15,S,S,S,S,S,H,H,H,H,H
H14,S,S,S,S,S,H,H,H,H,H
H13,S,S,S,S,S,H,H,H,H,H
H12,H,H,S,S,S,H,H,H,H,H
H11,D,D,D,D,D,D,D,D,D,D
H10,D,D,D,D,D,D,D,D,H,H
H9,H,D,D,D,D,H,H,H,H,H
H8,H,H,H,H,H,H,H,H,H,H
S20,S,S,S,S,S,S,S,S,S,S
S19,S,S,S,S,D,S,S,S,S,S
S18,D,D,D,D,D,S,S,H,H,H
S17,H,D,D,D,D,H,H,H,H,H
S16,H,H,D,D,D,H,H,H,H,H
S15,H,H,H,D,D,H,H,H,H,H
S14,H,H,H,H,D,H,H,H,H,H
S13,H,H,H,H,H,H,H,H,H,H
PA,A,P,P,P,P,P,P,P,P,P,P
P10,10,S,S,S,S,S,S,S,S,S,S
P9,9,P,P,P,P,P,S,P,P,S,S
P8,8,P,P,P,P,P,P,P,P,P,P
P7,7,P,P,P,P,P,P,H,H,H,H
P6,6,P,P,P,P,P,H,H,H,H,H
P5,5,D,D,D,D,D,D,D,D,H,H
P4,4,H,H,H,P,P,H,H,H,H,H
P3,3,P,P,P,P,P,P,H,H,H,H
P2,2,P,P,P,P,P,P,H,H,H,H
